"filename", "language", "JavaScript", "SQL", "HTML", "Markdown", "JSON with Comments", "JSON", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\vue.js", "JavaScript", 9316, 0, 0, 0, 0, 0, 0, 0, 0, 1481, 1148, 11945
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\vue.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\vue.runtime.js", "JavaScript", 6400, 0, 0, 0, 0, 0, 0, 0, 0, 1198, 826, 8424
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\vue.runtime.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\vue3.global.js", "JavaScript", 12969, 0, 0, 0, 0, 0, 0, 0, 0, 1701, 115, 14785
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\vuedraggable.umd.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\vuedraggable2.umd.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\wsExample.html", "HTML", 0, 0, 143, 0, 0, 0, 0, 0, 0, 1, 32, 176
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\wsExtensionClient.js", "JavaScript", 428, 0, 0, 0, 0, 0, 0, 0, 0, 298, 189, 915
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\athletes.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\categories.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\clubs.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\a2DBDisz\contests%2F3.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
